Generic Model,Manufacturer,Country,Parent Company,2019 Q2 UK,2019 Q1 UK,2018 Q4 UK,2018 Q3 UK,2018 Q2 UK,2018 Q1 UK,2017 Q4 UK,2017 Q3 UK,2017 Q2 UK,2017 Q1 UK,2016 Q4 UK,2016 Q3 UK,2016 Q2 UK,2016 Q1 UK,2015 Q4 UK,2015 Q3 UK,2015 Q2 UK,2015 Q1 UK,2014 Q4 UK,2014 Q3 UK,2019 Q2 GB,2019 Q1 GB,2018 Q4 GB,2018 Q3 GB,2018 Q2 GB,2018 Q1 GB,2017 Q4 GB,2017 Q3 GB,2017 Q2 GB,2017 Q1 GB,2016 Q4 GB,2016 Q3 GB,2016 Q2 GB,2016 Q1 GB,2015 Q4 GB,2015 Q3 GB,2015 Q2 GB,2015 Q1 GB,2014 Q4 GB,2014 Q3 GB,2014 Q2 GB,2014 Q1 GB,2013 Q4 GB,2013 Q3 GB,2013 Q2 GB,2013 Q1 GB,2012 Q4 GB,2012 Q3 GB,2012 Q2 GB,2012 Q1 GB,2011 Q4 GB,2011 Q3 GB,2011 Q2 GB,2011 Q1 GB,2010 Q4 GB,2010 Q3 GB,2010 Q2 GB,2010 Q1 GB,2009 Q4 GB,2009 Q3 GB,2009 Q2 GB,2009 Q1 GB,2008 Q4 GB,2008 Q3 GB,2008 Q2 GB,2008 Q1 GB,2007 Q4 GB,2007 Q3 GB,2007 Q2 GB,2007 Q1 GB,2006 Q4 GB,2006 Q3 GB,2006 Q2 GB,2006 Q1 GB,2005 Q4 GB,2005 Q3 GB,2005 Q2 GB,2005 Q1 GB,2004 Q4 GB,2004 Q3 GB,2004 Q2 GB,2004 Q1 GB,2003 Q4 GB,2003 Q3 GB,2003 Q2 GB,2003 Q1 GB,2002 Q4 GB,2002 Q3 GB,2002 Q2 GB,2002 Q1 GB,2001 Q4 GB,2001 Q3 GB,2001 Q2 GB,2001 Q1 GB
FORD FIESTA,FORD,United States,Ford Motor Company,19810,23569,16610,23206,23664,32954,18826,16508,20891,38427,24500,32336,27466,36956,25571,36381,32251,39618,25237,36907,19405,23030,16394,22716,23194,32239,18523,16140,20537,37764,24243,31845,26889,36193,25285,35712,31606,38765,24970,36119,29614,38765,25948,32127,27509,33230,20934,28704,25103,32677,19501,25021,22646,27696,17351,27605,21078,35529,24007,33464,24166,32446,20349,21601,21033,29212,17639,28421,23810,30863,17536,29474,21546,31912,16056,21385,18341,24648,15549,24704,20476,27295,16037,26636,27561,24981,16942,26615,23550,25436,20333,30293,23461,26188
FORD FOCUS,FORD,United States,Ford Motor Company,15457,16692,10382,9567,15219,15669,12391,17502,16134,24013,13516,18432,18134,20909,14822,24169,22727,22315,18405,22299,15161,16315,10230,9299,14821,15230,12182,17179,15781,23545,13342,18099,17784,20478,14601,23734,22220,21721,18110,21800,19212,24332,15690,22933,22087,24494,18528,20300,18930,24105,14052,23296,18871,24010,13431,16041,19767,27466,19470,25551,24344,23186,15477,23829,25503,34992,22659,28287,31866,41138,25960,32998,35428,40376,27609,35221,34311,44327,26116,33639,35709,42411,28784,32531,32936,37213,29206,37502,39165,46376,29298,38215,33878,38884
VAUXHALL CORSA,VAUXHALL,United Kingdom,Groupe PSA,12231,17645,9898,15519,12464,15332,6549,12953,11899,21295,12681,22559,17504,24465,19194,22668,20925,29127,19103,20502,12155,17419,9719,15433,12236,15066,6476,12674,11724,20843,12594,22345,17215,24165,19005,22419,20442,28588,18786,20158,18231,23533,16425,21269,21297,24343,16651,24787,23085,23291,15297,23362,17795,20296,11801,20321,21187,22646,16256,23971,20926,22097,18322,25729,25525,28500,17684,25257,21864,26881,15985,17669,16553,22374,14092,24072,24650,24991,14120,28419,24948,32574,21852,29586,22700,32118,19483,29346,26006,28866,20628,27771,22455,22142
VOLKSWAGEN GOLF,VOLKSWAGEN,Germany,Volkswagen Group,14231,17154,13140,12633,19464,21967,18217,21153,17883,20568,15297,18353,18997,20482,14942,21267,19932,21168,16826,21737,13830,16556,12858,12357,19022,21374,17873,20635,17384,19834,14896,17808,18493,19846,14584,20722,19381,20509,16463,21151,18502,18726,13328,19505,16623,15772,12044,15774,15902,19044,13517,17096,16518,17585,14409,14977,14854,17416,15059,19750,13895,13615,11540,18773,17814,20678,16250,20851,17144,20697,14564,20162,18376,17827,17233,19892,18155,18494,15454,17966,17660,16116,14798,18862,16872,20659,16820,22297,22873,23150,16234,21608,18994,20061
VAUXHALL ASTRA,VAUXHALL,United Kingdom,Groupe PSA,4728,7741,7660,6947,6922,9169,8177,8867,14504,17930,16056,16422,13603,14891,10057,12766,14998,14996,12381,15265,4663,7629,7591,6842,6814,9033,8031,8684,14303,17691,15904,16232,13340,14511,9919,12596,14794,14670,12132,14871,14758,17379,14194,19180,16213,16907,15660,16591,15418,14472,13259,15885,15298,16882,14281,19126,23198,22081,17648,19936,13002,15104,13631,21780,24554,28387,22560,29361,27697,31967,19565,27649,26266,29550,21842,24340,29771,30081,18823,23834,18288,22997,17498,24253,23534,30155,20513,28731,23343,27858,19287,25676,24068,28484
VOLKSWAGEN POLO,VOLKSWAGEN,Germany,Volkswagen Group,10553,13138,10796,12339,12465,9597,7402,13263,11741,15483,10829,15720,12845,15190,9422,16519,14162,14835,11212,13816,10309,12831,10642,12041,12092,9275,7248,12994,11492,15064,10700,15402,12450,14642,9255,16044,13761,14280,10920,13361,9013,12864,7999,10321,10978,11431,7780,11342,9904,11766,9058,13464,9823,12461,9055,9563,10967,14582,7169,7271,6188,8651,5840,9461,8967,10586,7564,10234,8230,9636,7445,10149,8504,11115,9370,11609,6663,12086,10544,10466,10496,11071,9396,14108,12237,11869,10764,13082,9449,6156,7244,13639,11210,11734
BMW 3 SERIES,BMW,Germany,BMW Group,6794,6020,4604,7096,7556,8059,6571,9429,9121,9888,8366,8819,9258,9558,8976,9301,9049,8918,8975,9432,6727,5927,4540,6992,7466,7914,6512,9285,9020,9766,8287,8685,9127,9402,8880,9144,8970,8694,8877,9263,8916,10897,8938,12423,11755,9070,9935,10854,12721,9500,8547,11354,11352,9697,10043,10852,10558,8977,9130,11806,7859,8399,7777,11055,13081,14433,12132,16515,13025,14968,11224,13435,11717,12213,10690,12728,10775,8129,9038,13615,12258,15235,12108,15200,12952,22549,11704,20542,14073,19421,14223,16225,11848,18056
RENAULT CLIO,RENAULT,France,Renault-Nissan-Mitsubishi Alliance,3578,7070,4459,6042,4621,5540,2696,5660,4514,7361,4363,6898,5673,6962,4312,8236,5702,8334,6277,8568,3426,6758,4371,5839,4511,5351,2613,5468,4361,7166,4248,6645,5455,6729,4190,7900,5480,7933,6097,8288,5595,8021,5643,6192,5554,4809,4592,4877,3716,4318,5045,5241,4920,6849,6266,7304,7584,11570,8712,8714,3484,4986,3846,6947,10259,11971,8232,14627,12975,16765,8018,18183,13841,15546,7586,15781,15521,16507,11102,19279,19687,21162,18967,20892,25154,17795,19296,19344,22570,24645,21297,20181,17848,20053
NISSAN QASHQAI,NISSAN,Japan,Renault-Nissan-Mitsubishi Alliance,12786,16429,8616,11884,13143,16933,11046,19621,14529,19098,12408,16733,15074,18744,11143,15265,15833,18699,11003,12740,12419,16026,8386,11473,12822,16607,10834,19358,14200,18749,12168,16353,14740,18363,10969,14966,15459,18320,10768,12363,12844,12507,8844,13616,11997,14224,9598,12081,10501,12010,8232,10269,10236,8715,8279,10606,10679,7315,8175,8233,6382,6068,2782,6072,4705,6045,4366,5462,4333,2979,2,,,,,,,,,,,,,,,,,,,,,,,
MERCEDES C CLASS,MERCEDES,Germany,Daimler AG,7755,7827,5071,7261,8820,10735,6834,11519,11938,15308,9061,12968,11319,10862,6412,12504,12021,15376,9729,10317,7695,7743,5044,7191,8753,10607,6781,11402,11837,15083,8976,12830,11197,10713,6347,12338,11860,15171,9627,10124,6964,11167,6508,10701,8281,10926,7673,12094,7983,9341,6603,8568,6203,8594,4986,6462,4811,6313,6120,6592,5694,5002,3348,6361,6512,9233,6477,6938,4487,6697,5176,7323,5300,6082,8332,6982,5239,7840,6936,8426,5523,7804,7610,8456,9446,8580,7898,7419,7089,8930,6845,6978,5128,6454
